# 內建常用詞表：yumete 分詞器沒有數據時的兜底（Feature #24）。
#
# 格式：一行一條，`詞<TAB>權重`（空格也行）；空行與 `#` 開頭的行跳過。權重是
# 相對詞頻，越大越常見，最大概率分詞路徑用它打分。
#
# **這是兜底，不是主詞典。** 機器上有宇浩數據時（跑過 `scripts/build.sh`），
# `w`／`b`／`e` 這些詞移動與 `:word-show` 的疊層走的是宇浩自己的表：`lang.ywl`
# 是詞庫、`lang.ywtb` 是詞頻、`lang.ygram` 是同一份語料訓出來的模型。使用者也
# 可以在數據目錄放一份更大的 `segmentation.txt` 蓋過本表。
#
# 本表就是「什麼數據都沒有」那一刻剩下的東西——新克隆、第一次跑、CI。
#
# ── 怎麼生成的 ──────────────────────────────────────────────────────────
# 源頭是宇浩語言模型 `data/lang.txt`（2,547,652 條純漢字多字詞，二三四字）。
# 那份表**沒有繁簡標誌**，只有 `詞 ⇥ 權重`；軌是按**字**判出來的，用宇浩自己的
# 三份數據：
#
#   data/simptrad.txt          簡繁對照 → 簡體專用字 2,545（头学）、
#                              繁體專用字 2,980（頭學）、其餘傳承字（眼睛）
#   data/charsets/tai.txt      常用∪次常用國字標準字體表（臺）11,151 字
#   data/charsets/tongfan.txt  通規標準繁体字（大陸標準繁體）8,197 字
#
# 後兩者相減就是字形分歧：台繁專用 337 字（為裡說內吳強）、陸繁專用 283 字
# （爲裏説内吴强）、兩繁共用 2,360 字（頭學進）。於是五軌，判詞由窄到寬、
# 第一條命中即定軌，各軌內部按原詞頻排序取前 N：
#
#   一致     全庫   410,441 條 → 前 25,000，末條權重  1,307   例 眼睛 微笑 酒杯
#   簡      全庫 1,026,592 條 → 前 15,000，末條權重  4,565   例 一个 我们 说道
#   繁      全庫   898,279 條 → 前 15,000，末條權重    593   例 頭髮 進行 美國
#   台繁     全庫   169,824 條 → 前 10,000，末條權重     84   例 因為 這裡 說道
#   通規繁    全庫    42,516 條 → 前 10,000，末條權重      0   例 作爲 這裏 説道
#
# ⚠️ **不能直接取全表前 N 條。** 語料以簡體為主，一刀切下去「抬头」8,108 進表而
# 「抬頭」714 落選，繁體寫作者處處掉回單字。也**不要改成「每個字都在某字集」再取
# 併集**：三個字集在「繁簡一致」那一批上高度重疊，名額 46% 撞車，同樣 907 KB 只換到
# 8,509 條繁體詞（本表 35,000 條）。
#
# 合計 75,000 條、1019 KB；詞長 二34,227／三23,371／四17,388，
# 所以 DP 的 `max_len` 是 4。
#
# ⚠️ **不要手工增刪。** 要換大小就重跑上面那一步改配額；照字形機械折換簡繁是錯的
# （宇浩詞表繁簡各自收，約 1.3% 沒有孿生條目）。
在这里	123336
来看	123224
移动	123202
推进	122954
经历	122888
一名	122752
端口	122543
重点	122383
保障	122221
車站	122006
职工	122002
成员	121895
验证	121695
规则	121655
调用	121395
收入	121318
本人	120885
同時	120843
快速	120759
一系列	120744
办法	120727
意见	120613
专家	120524
类似	120076
通信	120065
面对	119991
脚本	119947
德国	119907
允许	119303
现代化	119289
有个	119072
一项	118976
一年	118963
优化	118427
可能会	118326
怎样的	118266
作出	118246
根據	118018
性能	118001
当年	117951
使用的	117749
普通	117749
武器	117420
并在	117383
當時	117381
普遍	117008
品牌	116786
机器人	116700
流程	116641
她的	116489
重要的	116371
更多的	116250
克思主义	116119
减少	116079
也会	115816
广大	115799
长期	115673
即可	115636
而言	115454
时期	115375
官方	115246
音乐	115228
扩大	114932
成本	114922
一家	114864
存储	114664
以色列	114661
遇到	114629
区域	114606
演出	114511
数据集	114320
苹果	114316
大小	114244
深度	114228
阶段	114202
态度	114195
特点	113951
运动员	113473
很多人	113254
恶意软件	113149
台湾	113128
材料	112853
持续	112845
有很多	112842
让你	112823
作为一个	112671
分布	112650
破坏	112483
毕竟	112461
想要	112376
神经网络	112274
加上	112173
宣传	112155
表现	111853
优势	111746
确实	111696
打开	111589
百度	111558
本报	111557
手段	111345
研究所	111319
但在	111316
交流	111276
两国	111256
作為	111256
共享	111246
中国特色	111199
父母	111055
运营	110804
应该是	110619
入侵	110353
建筑	110305
别人	110301
战斗	110148
注入	110051
操作系统	109672
有没有	109497
贡献	109437
加拿大	109289
高级	109125
和其他	109123
几乎	108755
商品	108699
名称	108628
可能是	108575
意大利	108430
还要	108237
玩家	108200
军事	108196
客户端	108155
员工	108035
自动化	108028
对方	107928
评估	107737
獲得	107585
自动	107266
评价	107181
正常	107143
机会	107000
真正的	106960
都在	106856
柬埔寨	106751
分类	106705
居民	106670
人口密度	106555
组成	106520
探索	106396
培养	106273
最大	106211
往往	106209
地位	106201
缺乏	106156
消费者	106074
後來	106063
编码	106015
人士	105985
如今	105946
统计	105908
改造	105640
返回	105627
降低	105573
确定	105551
第三	105481
质量	105321
调整	105246
课程	105204
意义	105053
大概	104945
下辖	104842
利益	104687
首都	104532
制造	104417
人的	104338
基本上	104291
土地	104265
微软	104208
整体	104143
列表	104090
在一起	104019
是因为	103948
简单	103843
我就	103741
面积	103703
谷歌	103542
歌曲	103503
至今	103418
社员	103250
認為	103142
掌握	102943
据新华社	102842
另一个	102698
制定	102626
困难	102611
成果	102583
角度	102571
一旦	102529
随后	102457
银行	102356
添加	102272
可以通过	102252
解释	102040
男生	101927
人民政府	101918
党中央	101879
领导人	101832
至于	101788
公社	101564
广告	101384
显示	101360
日讯	101291
最好的	101284
之类	101250
为主	101242
一座	101101
主机	100909
就像	100798
涉及	100688
车站	100660
越来越	100556
防御	100500
多次	100487
本地	100329
怎么办	100236
获得了	100234
地理	100180
传播	100129
先后	100126
例子	100079
厂商	99997
重大	99961
的事	99942
遭到	99904
文本	99894
治理	99860
每次	99830
积极	99653
做好	99652
成就	99629
突然	99599
程度	99594
简单的	99441
让我	99428
有着	99418
从事	99414
距离	99216
结束	99198
信任	99067
开源	99050
侵略	99035
当地	99001
商业	98828
科学家	98765
恢复	98709
街道	98634
分钟	98607
是指	98565
下的	98558
最重要的	98461
男性	98435
最佳	98412
尝试	98389
家族	98288
认证	98128
资本主义	98107
物联网	98097
在这个	98025
规划	97912
逻辑	97637
粮食	97616
主任	97612
资产阶级	97574
资金	97506
这就是	97404
出来	97397
等人	97334
查询	97308
数字化	97266
腾讯	97012
投入	96994
实践	96708
第二次	96701
根本	96629
附近	96591
如此	96468
美元	96438
调查	96362
内存	96355
他們	96224
浏览器	96212
疫情	96151
目录	96144
晚上	96114
亚洲	96076
公开	96038
各国	96024
病毒	95826
也在	95795
期間	95721
小时	95641
境内	95632
启动	95574
都可以	95571
创造	95553
取得了	95285
总是	95209
声明	95086
联盟	95076
提出的	94946
范围	94862
解放	94792
里的	94735
风格	94681
拒绝	94679
动态	94654
开发者	94648
各类	94624
区别	94507
认识	94490
敌人	94462
你可以	94171
进步	93869
看了	93853
学院	93746
一是	93547
西班牙	93485
标签	93399
深入	93362
大量的	93318
那样	93313
节点	93088
自治区	93080
最多	93033
发挥	92997
改善	92988
歷史	92901
大规模	92893
角色	92780
年度	92574
阅读	92478
一份	92348
资产	92346
统一	92219
更大	92213
铁路	91986
上述	91972
接下来	91677
实现了	91674
终于	91490
网络空间	91467
路径	91406
属性	91367
怎样	91299
之間	91291
可以在	91278
一批	91219
工作者	91141
改进	91129
巨大的	91099
接口	91098
北京市	91073
办公室	91056
到底	91044
負責	91041
金融	91027
原理	90998
升级	90981
博士	90877
渗透	90862
新型	90775
完善	90710
编辑	90698
代理	90692
增加了	90679
伟大	90635
证明	90610
中共中央	90541
似乎	90427
学名	90399
表明	90384
在此	90236
迅速	90090
我在	90063
处于	90042
或是	90039
之中	90034
想法	90013
华为	89918
另一方面	89873
估计	89814
容器	89765
南京	89544
不需要	89359
非洲	89325
文档	89221
截至	89184
交通	89159
新时代	89144
放在	89115
历史上	89063
在北京	89061
立即	88985
小米	88970
可以看到	88925
看看	88817
推广	88711
十分	88620
阿拉伯	88608
变成	88592
主动	88562
收集	88514
现代	88512
一天	88482
建立了	88469
后面	88465
这么	88416
规范	88316
也没有	88312
臺灣	88296
判断	88280
先生	88192
都要	88167
近年来	88150
大队	88132
微博	88120
代表大会	88091
出现了	88030
感到	87955
绕过	87917
而在	87914
避免	87707
说的	87636
严重	87510
本报讯	87394
做了	87360
应对	87338
人家	87226
生物	87185
二是	87118
因而	87036
展示	86960
规模	86931
基地	86928
高度	86886
对比	86882
思路	86850
禁止	86737
考虑	86724
趋势	86657
早期	86651
打造	86563
文字	86488
购买	86481
细节	86454
最初	86442
更是	86379
做到	86234
已有	86137
每一个	86043
中國	85987
争取	85845
矛盾	85844
日至	85834
损失	85714
符合	85680
召开	85558
得到了	85465
效率	85451
综合	85411
在美国	85308
引起	85232
称为	85195
百分之	85148
融合	85144
医生	84812
男人	84766
发送	84728
阿尔	84724
而已	84485
背景	84320
設有	84171
元素	84119
下午	84086
多少	84003
委员	83998
在线	83891
任意	83771
人生	83747
设立	83713
電影	83642
世界上	83578
泄露	83542
加速	83469
账号	83444
将其	83429
相信	83402
妇女	83194
修复	83192
思考	83176
安排	83169
人物	83166
都没有	83117
运用	83100
响应	83019
培训	83017
多种	82995
防止	82964
國家	82951
批评	82948
因素	82936
天津	82883
对此	82857
对话	82842
形象	82828
停止	82744
回复	82741
通知	82735
交易	82727
稳定	82727
就要	82626
集中	82619
发现了	82556
集体	82488
广州	82482
這些	82462
监控	82434
资料	82408
突破	82384
我也	82342
还在	82314
女子	82263
大學	82261
友谊	82182
正是	82151
发表	82146
艺术	82018
芯片	81950
安全性	81937
真是	81908
就有	81900
围绕	81862
对抗	81793
副主席	81741
区块链	81730
用来	81672
我想	81660
要闻	81576
参加了	81554
韩国	81536
警察	81498
共产主义	81480
还可以	81478
特性	81465
声音	81337
媒体	81285
人民群众	81223
这一点	81120
回到	81103
强化	81100
第三方	80988
此次	80931
不足	80905
越来越多	80865
全世界	80842
邀请	80792
假设	80784
让人	80711
尼亚	80676
死亡	80644
责任	80620
成員	80521
体育	80461
完成了	80439
小组	80418
勒索软件	80415
观众	80107
公布	79775
联邦	79772
以便	79736
教师	79692
动作	79666
网络攻击	79656
中国人	79653
研究生	79587
雖然	79542
供应链	79400
一方面	79358
新加坡	79331
也就	79272
原来	79260
则是	79250
明确	79212
大家都	79200
面積	79007
具备	79001
页面	78985
依然	78905
是怎样的	78848
受害者	78822
唯一	78662
著作	78637
特定	78594
感受	78573
研究院	78570
我认为	78547
主题	78514
解析	78487
相对	78434
伟大的	78339
一套	78173
澳大利亚	78059
好的	78048
做出	78013
南方	77973
自身	77870
域名	77788
还没有	77705
前面	77695
相同	77692
经济发展	77649
参考	77572
四个	77561
连续	77436
技能	77435
分为	77418
最終	77407
满足	77356
定位	77346
及时	77290
伊朗	77266
